run_name,dataset,algorithm,variant,seed,pr_auc,roc_auc,mcc,f1,distance_concentration_ratio,n_features,pca_variance,recall_type_g,recall_type_l
phase4__arrhythmia__HBOS__seed-0__task-001385__cfg-1c7458af,arrhythmia,HBOS,pca-0.75,0,0.34656812250817404,0.683761186999529,0.3080546396608573,0.4090909090909091,7.394970814684888,2.0,0.75,,
phase4__arrhythmia__HBOS__seed-0__task-001384__cfg-80790f9b,arrhythmia,HBOS,pca-0.50,0,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.5,,
phase4__arrhythmia__HBOS__seed-0__task-001383__cfg-a53b49a4,arrhythmia,HBOS,pca-0.25,0,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.25,,
phase4__arrhythmia__HBOS__seed-0__task-001382__cfg-ed381b5e,arrhythmia,HBOS,pca-0.10,0,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.1,,
phase4__arrhythmia__HBOS__seed-0__task-001381__cfg-2dd9d844,arrhythmia,HBOS,pca-0.05,0,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.05,,
phase4__arrhythmia__HBOS__seed-0__task-001380__cfg-214ad941,arrhythmia,HBOS,pca-0.01,0,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.01,,
phase4__arrhythmia__DBSCAN__seed-42__task-001379__cfg-75e51b5a,arrhythmia,DBSCAN,dimensionality-raw-preprocess,42,0.34430315022222435,0.6029400219814728,0.20160150730098916,0.3181818181818182,4.99741488815345,802.0,,,
phase4__arrhythmia__LOF__seed-42__task-001378__cfg-fe99679f,arrhythmia,LOF,dimensionality-raw-preprocess,42,0.36439398607106305,0.66270215104412,0.23708588475427853,0.3484848484848485,4.99741488815345,802.0,,,
phase4__arrhythmia__ECOD__seed-42__task-001377__cfg-d33c2d32,arrhythmia,ECOD,pca-0.99,42,0.35740369338576417,0.7881535562882713,0.3080546396608573,0.4090909090909091,5.131743340412652,69.0,0.99,,
phase4__arrhythmia__ECOD__seed-42__task-001376__cfg-bf008d94,arrhythmia,ECOD,pca-0.90,42,0.4890332107207339,0.7509813157481552,0.379023394567436,0.4696969696969697,6.327977276056838,5.0,0.9,,
phase4__arrhythmia__ECOD__seed-42__task-001375__cfg-116699af,arrhythmia,ECOD,pca-0.75,42,0.5001558403082293,0.7698814570576228,0.3080546396608573,0.4090909090909091,7.394970814684888,2.0,0.75,,
phase4__arrhythmia__ECOD__seed-42__task-001374__cfg-dc2ad2e2,arrhythmia,ECOD,pca-0.50,42,0.38015919262903625,0.7546710629612183,0.2725702622075679,0.3787878787878788,8.569539951407041,1.0,0.5,,
phase4__arrhythmia__ECOD__seed-42__task-001373__cfg-74be4d75,arrhythmia,ECOD,pca-0.25,42,0.38015919262903625,0.7546710629612183,0.2725702622075679,0.3787878787878788,8.569539951407041,1.0,0.25,,
phase4__arrhythmia__ECOD__seed-42__task-001372__cfg-85c3f56c,arrhythmia,ECOD,pca-0.10,42,0.38015919262903625,0.7546710629612183,0.2725702622075679,0.3787878787878788,8.569539951407041,1.0,0.1,,
phase4__arrhythmia__ECOD__seed-42__task-001371__cfg-85ca2e8a,arrhythmia,ECOD,pca-0.05,42,0.38015919262903625,0.7546710629612183,0.2725702622075679,0.3787878787878788,8.569539951407041,1.0,0.05,,
phase4__arrhythmia__ECOD__seed-42__task-001370__cfg-74529973,arrhythmia,ECOD,pca-0.01,42,0.38015919262903625,0.7546710629612183,0.2725702622075679,0.3787878787878788,8.569539951407041,1.0,0.01,,
phase4__arrhythmia__DBSCAN__seed-3__task-001369__cfg-1aca7e30,arrhythmia,DBSCAN,dimensionality-raw-preprocess,3,0.34430315022222435,0.6029400219814728,0.20160150730098916,0.3181818181818182,4.99741488815345,802.0,,,
phase4__arrhythmia__LOF__seed-3__task-001368__cfg-f14c9f37,arrhythmia,LOF,dimensionality-raw-preprocess,3,0.36439398607106305,0.66270215104412,0.23708588475427853,0.3484848484848485,4.99741488815345,802.0,,,
phase4__arrhythmia__ECOD__seed-3__task-001367__cfg-bc2b7ba5,arrhythmia,ECOD,pca-0.99,3,0.35740369338576417,0.7881535562882713,0.3080546396608573,0.4090909090909091,5.131743340412652,69.0,0.99,,
phase4__arrhythmia__ECOD__seed-3__task-001366__cfg-207dcabf,arrhythmia,ECOD,pca-0.90,3,0.4890332107207339,0.7509813157481552,0.379023394567436,0.4696969696969697,6.327977276056838,5.0,0.9,,
phase4__arrhythmia__ECOD__seed-3__task-001365__cfg-d34297d1,arrhythmia,ECOD,pca-0.75,3,0.5001558403082293,0.7698814570576228,0.3080546396608573,0.4090909090909091,7.394970814684888,2.0,0.75,,
